split,source,group,duplicate_cluster,source_image,output_image,waldo_boxes
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0023.jpg,1
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0024.jpg,1
train,HereIsWally,page:4,page:4,data/raw/HereIsWally/images/4.jpg,train/images/HereIsWally_0025.jpg,1
train,HereIsWally,page:5,page:2,data/raw/HereIsWally/images/5.jpg,train/images/HereIsWally_0026.jpg,1
train,HereIsWally,page:6,page:3,data/raw/HereIsWally/images/6.jpg,train/images/HereIsWally_0027.jpg,1
train,HereIsWally,page:7,page:7,data/raw/HereIsWally/images/7.jpg,train/images/HereIsWally_0028.jpg,1
val,HereIsWally,page:8,page:8,data/raw/HereIsWally/images/8.jpg,val/images/HereIsWally_0003.jpg,1
val,HereIsWally,page:8,page:8,data/raw/HereIsWally/images/8.jpg,val/images/HereIsWally_0004.jpg,1
val,HereIsWally,page:9,page:9,data/raw/HereIsWally/images/9.jpg,val/images/HereIsWally_0005.jpg,1
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpeg.rf.96eebd6f2964ff8f72ee5ebee8409f49.jpg,test/images/Wally-Finder-v5_0000.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpeg.rf.c63c86fc871234f5afe3a07fb7eff961.jpg,test/images/Wally-Finder-v5_0001.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpg.rf.19ab7976cd4bfcdc79ba7b3f69098645.jpg,test/images/Wally-Finder-v5_0002.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpg.rf.3efda0d40b0d8735003466d5c61bf679.jpg,test/images/Wally-Finder-v5_0003.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpg.rf.3f74c06b3b5dc7be781633dcd19acdef.jpg,test/images/Wally-Finder-v5_0004.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpg.rf.8a9b34d8d7d64f5acc02cefbfc5e1786.jpg,test/images/Wally-Finder-v5_0005.jpg,0
test,Wally-Finder-v5,page:0,page:0,data/roboflow/wally-finder-v5/train/images/00_jpg.rf.96d87b89fe47907e3405eee68d8e6c1e.jpg,test/images/Wally-Finder-v5_0006.jpg,0
train,Wally-Finder-v5,page:1,page:1,data/roboflow/wally-finder-v5/train/images/01_jpeg.rf.259266c37a01b4ef54cdcff8acaaade9.jpg,train/images/Wally-Finder-v5_0000.jpg,0
train,Wally-Finder-v5,page:1,page:1,data/roboflow/wally-finder-v5/train/images/01_jpeg.rf.64c60c6c35833c417f4caf1c0369c1b7.jpg,train/images/Wally-Finder-v5_0001.jpg,0
train,Wally-Finder-v5,page:1,page:1,data/roboflow/wally-finder-v5/train/images/01_jpg.rf.6e3def69da9b31c9cf871a579c7ea655.jpg,train/images/Wally-Finder-v5_0002.jpg,0
train,Wally-Finder-v5,page:1,page:1,data/roboflow/wally-finder-v5/train/images/01_jpg.rf.b9c9a271b2badb24f8a2f7aeaa7708f5.jpg,train/images/Wally-Finder-v5_0003.jpg,0
train,Wally-Finder-v5,page:1,page:1,data/roboflow/wally-finder-v5/train/images/01_jpg.rf.ebf2d407f451f2690b547e8182ecb9f5.jpg,train/images/Wally-Finder-v5_0004.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.3d61ace6249f719fa8e3c1ec8db66466.jpg,train/images/Wally-Finder-v5_0005.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.5e7ae178dacec2c40164bd3682deef4e.jpg,train/images/Wally-Finder-v5_0006.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.7e783e1ed779db1c32e16c0a22e0614e.jpg,train/images/Wally-Finder-v5_0007.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.b421d010b3b81c997efff213685d9247.jpg,train/images/Wally-Finder-v5_0008.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.c0e7442d881e911e61d2cf62d306fa5d.jpg,train/images/Wally-Finder-v5_0009.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.e801da1b1de75380f893f75d8c5870db.jpg,train/images/Wally-Finder-v5_0010.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.ef57d8cfba8bd8d35636d0f1e9c743bd.jpg,train/images/Wally-Finder-v5_0011.jpg,0
train,Wally-Finder-v5,page:2,page:2,data/roboflow/wally-finder-v5/train/images/02_jpg.rf.f08ab46de16d5d67cc4e74fb0a723efc.jpg,train/images/Wally-Finder-v5_0012.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpeg.rf.256f82f02ab0c9ca33017725a8858f19.jpg,train/images/Wally-Finder-v5_0013.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpeg.rf.309b462d5f6aada2798907e578d8fd28.jpg,train/images/Wally-Finder-v5_0014.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpg.rf.2a691392b05ff95075f72b77d43f6d39.jpg,train/images/Wally-Finder-v5_0015.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpg.rf.3eda1ccd394fd236cb9546e7730db48c.jpg,train/images/Wally-Finder-v5_0016.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpg.rf.5d336e1293dcf474d1e29886f12f2c47.jpg,train/images/Wally-Finder-v5_0017.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpg.rf.96e4ada328c95131fa32ef191ae3c2ad.jpg,train/images/Wally-Finder-v5_0018.jpg,0
train,Wally-Finder-v5,page:3,page:3,data/roboflow/wally-finder-v5/train/images/03_jpg.rf.a261800d6fd7aa1ecd36f256f5951b96.jpg,train/images/Wally-Finder-v5_0019.jpg,0
test,Wally-Finder-v5,page:10,page:10,data/roboflow/wally-finder-v5/train/images/10_jpeg.rf.f0a29215c6da15f55c7ad1c7de35c7b2.jpg,test/images/Wally-Finder-v5_0007.jpg,0
test,Wally-Finder-v5,page:10,page:10,data/roboflow/wally-finder-v5/train/images/10_jpeg.rf.f98db8044a92d59adafc990c85395c2a.jpg,test/images/Wally-Finder-v5_0008.jpg,0
test,Wally-Finder-v5,page:10,page:10,data/roboflow/wally-finder-v5/train/images/10_jpg.rf.016e2d6c5dc7ddc4b6a6ac1d7f9c8dac.jpg,test/images/Wally-Finder-v5_0009.jpg,0
test,Wally-Finder-v5,page:10,page:10,data/roboflow/wally-finder-v5/train/images/10_jpg.rf.1cd60f35697d840e279c654ffe766f9c.jpg,test/images/Wally-Finder-v5_0010.jpg,0
test,Wally-Finder-v5,page:10,page:10,data/roboflow/wally-finder-v5/train/images/10_jpg.rf.901aa712ce1665bd06f7785d3cea4ba8.jpg,test/images/Wally-Finder-v5_0011.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpeg.rf.60962d962d71b896a455969f283abc39.jpg,val/images/Wally-Finder-v5_0000.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.0cc16aec5a1a91582bf6cd121fcf431e.jpg,val/images/Wally-Finder-v5_0001.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.58bcb6844d4ca27e914c789425d22aff.jpg,val/images/Wally-Finder-v5_0002.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.7b90a88a1d03888014f8e3b854b86b5b.jpg,val/images/Wally-Finder-v5_0003.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.87a1e9f2281d8cbfc68dc6e23daaa7c7.jpg,val/images/Wally-Finder-v5_0004.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.90336bcf843fde7f713d2a45b7d38e7c.jpg,val/images/Wally-Finder-v5_0005.jpg,0
val,Wally-Finder-v5,page:11,page:11,data/roboflow/wally-finder-v5/train/images/11_jpg.rf.b24483d870a8df96fd5f7a0f44cea6ca.jpg,val/images/Wally-Finder-v5_0006.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpeg.rf.a4d46baa2b25703ac7f7df42087e695a.jpg,train/images/Wally-Finder-v5_0020.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpeg.rf.c18a71f2a29a0f749e65cac4ba8a4686.jpg,train/images/Wally-Finder-v5_0021.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpg.rf.0302e5b42c34ec1bb2fbbda8a4df874e.jpg,train/images/Wally-Finder-v5_0022.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpg.rf.1581a550c8487e516e2003f1a1fdae18.jpg,train/images/Wally-Finder-v5_0023.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpg.rf.df1bd89961d637bd396c418713e4b07f.jpg,train/images/Wally-Finder-v5_0024.jpg,0
train,Wally-Finder-v5,page:12,page:12,data/roboflow/wally-finder-v5/train/images/12_jpg.rf.f76716ca86f5f62b071a47cd9d7b729b.jpg,train/images/Wally-Finder-v5_0025.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpeg.rf.80a85a886888763509ffc622dc8b825c.jpg,train/images/Wally-Finder-v5_0026.jpg,1
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpeg.rf.ed372916f7d8ef3d1bd702750ab461d3.jpg,train/images/Wally-Finder-v5_0027.jpg,1
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.2d56f9e05d7b6ac7d2d65bd10c3788e5.jpg,train/images/Wally-Finder-v5_0028.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.5753173c0594128a6a7fc51f42a63453.jpg,train/images/Wally-Finder-v5_0029.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.647c9fc6c280c2e9b1b2a944f06f7e49.jpg,train/images/Wally-Finder-v5_0030.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.92a7aaf11071a8413dfafb297b4d6217.jpg,train/images/Wally-Finder-v5_0031.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.be34f91e69e1d0675357e893c2f7d8f0.jpg,train/images/Wally-Finder-v5_0032.jpg,0
train,Wally-Finder-v5,page:13,page:13,data/roboflow/wally-finder-v5/train/images/13_jpg.rf.d32a8f985dda42d5329a12aac54e9678.jpg,train/images/Wally-Finder-v5_0033.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.4b8a613e6b8d9fc0b55421f3093c6e60.jpg,train/images/Wally-Finder-v5_0034.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.66b251ef73f8200232d12ac3c3ed97be.jpg,train/images/Wally-Finder-v5_0035.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.72ef46b4418707ad89b8dbe591e7ff5f.jpg,train/images/Wally-Finder-v5_0036.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.7bf6a3a1a6492d4c7460638f17f02925.jpg,train/images/Wally-Finder-v5_0037.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.8379979bc6388ed09a10b83aba600a14.jpg,train/images/Wally-Finder-v5_0038.jpg,0
train,Wally-Finder-v5,page:20,page:20,data/roboflow/wally-finder-v5/train/images/20_jpg.rf.a74fb56bca49f6f96bd7d5d8d80cf27a.jpg,train/images/Wally-Finder-v5_0039.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpeg.rf.9b4e3aabba8dfaf01db7188183bfb248.jpg,train/images/Wally-Finder-v5_0040.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.04d73c019e1846bad0284e827893a637.jpg,train/images/Wally-Finder-v5_0041.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.46ebd6d49fa6e83ac7958001b711b7ac.jpg,train/images/Wally-Finder-v5_0042.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.90496c89f1649b9a859de5c447366d39.jpg,train/images/Wally-Finder-v5_0043.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.bf12a5e65e715f51fee1cca70c416061.jpg,train/images/Wally-Finder-v5_0044.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.cd9f4dfea0af3d6611befb09d3b0d125.jpg,train/images/Wally-Finder-v5_0045.jpg,0
train,Wally-Finder-v5,page:21,page:21,data/roboflow/wally-finder-v5/train/images/21_jpg.rf.ee009e509d728fe01bc77fb177ffef7b.jpg,train/images/Wally-Finder-v5_0046.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.038b5eab3ddecba89a7ee039a26cee29.jpg,test/images/Wally-Finder-v5_0012.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.3471c5db0b6e092b6488badb939cf7ca.jpg,test/images/Wally-Finder-v5_0013.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.375d212b386b572ccd0ff756b75d48a6.jpg,test/images/Wally-Finder-v5_0014.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.6a2664b2d6d3c2a567733fa0f8da0e6f.jpg,test/images/Wally-Finder-v5_0015.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.724b4f3645b260690d2ae70858a164f5.jpg,test/images/Wally-Finder-v5_0016.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.c9593d69c7bd38f5f5932797efad5be4.jpg,test/images/Wally-Finder-v5_0017.jpg,0
test,Wally-Finder-v5,page:22,page:22,data/roboflow/wally-finder-v5/train/images/22_jpg.rf.fd31c007051221372fb28277e923c048.jpg,test/images/Wally-Finder-v5_0018.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpeg.rf.07ed583ef924099d578ba7bfc540f697.jpg,test/images/Wally-Finder-v5_0019.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpeg.rf.4c60a8a407be3d56a7a3c4dc9382b876.jpg,test/images/Wally-Finder-v5_0020.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.37856def3225edd9571eb0927701710b.jpg,test/images/Wally-Finder-v5_0021.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.422b8d0e477cea60eee130f70a0e1998.jpg,test/images/Wally-Finder-v5_0022.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.78cf53a01d27e4d8e92a0a2146e93281.jpg,test/images/Wally-Finder-v5_0023.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.8d7763357e36881e70f8f6eb2190bda3.jpg,test/images/Wally-Finder-v5_0024.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.9587d19e788bcfd4e34dadfef746b116.jpg,test/images/Wally-Finder-v5_0025.jpg,0
test,Wally-Finder-v5,page:23,page:23,data/roboflow/wally-finder-v5/train/images/23_jpg.rf.f8fb483d4fc35f9d9208717cdd23d72f.jpg,test/images/Wally-Finder-v5_0026.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpeg.rf.21bcb2f0eb7700b52cf485008392f30a.jpg,train/images/Wally-Finder-v5_0047.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpeg.rf.54aecd0fc3d99d3d952a096554e7bebe.jpg,train/images/Wally-Finder-v5_0048.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpg.rf.34cc6cda0ad65565df39827b1f941c5c.jpg,train/images/Wally-Finder-v5_0049.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpg.rf.c2d3dbf80fcf0dfd389e00dbd4f3497a.jpg,train/images/Wally-Finder-v5_0050.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpg.rf.cfce0ec5bec8ba2327578c429c841442.jpg,train/images/Wally-Finder-v5_0051.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpg.rf.d0a7f6910a09c203a3ab91e86463c7d6.jpg,train/images/Wally-Finder-v5_0052.jpg,0
train,Wally-Finder-v5,page:30,page:30,data/roboflow/wally-finder-v5/train/images/30_jpg.rf.f78123ec3fa2e8fd8cfdae2b48f39340.jpg,train/images/Wally-Finder-v5_0053.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpeg.rf.69703d5c82252a655149a918b9737518.jpg,train/images/Wally-Finder-v5_0054.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpeg.rf.a0e6d2f102e64f438108a901a5194010.jpg,train/images/Wally-Finder-v5_0055.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.1ef7760ff6e17ecd24f2e01affbbe2ea.jpg,train/images/Wally-Finder-v5_0056.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.3acf1dd2447b5d85dcc046de6223bfba.jpg,train/images/Wally-Finder-v5_0057.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.639b995b5ff2dc0c290b391c01f8692d.jpg,train/images/Wally-Finder-v5_0058.jpg,1
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.7e3ae433966767ba3906404a36a9caa6.jpg,train/images/Wally-Finder-v5_0059.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.b2428a7a790243f21230213b1afbfb4e.jpg,train/images/Wally-Finder-v5_0060.jpg,1
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.cc2c94f62235d9b96a780f541cec274f.jpg,train/images/Wally-Finder-v5_0061.jpg,0
train,Wally-Finder-v5,page:31,page:31,data/roboflow/wally-finder-v5/train/images/31_jpg.rf.ecdfd1e04f234bf6d9a4dba75e9b012b.jpg,train/images/Wally-Finder-v5_0062.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpeg.rf.0a01c4be1be8138f44225850c1ab75f7.jpg,train/images/Wally-Finder-v5_0063.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpeg.rf.8b63a908761f0bff9f619feff01acdd9.jpg,train/images/Wally-Finder-v5_0064.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.684117f9124ccb153703215d9826ff9d.jpg,train/images/Wally-Finder-v5_0065.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.84d3709a447bc60109372e2342da8a2e.jpg,train/images/Wally-Finder-v5_0066.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.84d609312ce5e39128a7a4b90ab7b5b0.jpg,train/images/Wally-Finder-v5_0067.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.b672d09ba2df3fb42e45c2e032e9b24d.jpg,train/images/Wally-Finder-v5_0068.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.c5b73b2e4ffc446f64c4457707d2b66c.jpg,train/images/Wally-Finder-v5_0069.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.df6994683056762d148dcc7acb8dfb43.jpg,train/images/Wally-Finder-v5_0070.jpg,0
train,Wally-Finder-v5,page:32,page:32,data/roboflow/wally-finder-v5/train/images/32_jpg.rf.f00b5a03d1ed6a18d249608fc79f069f.jpg,train/images/Wally-Finder-v5_0071.jpg,0
train,Wally-Finder-v5,page:33,page:33,data/roboflow/wally-finder-v5/train/images/33_jpeg.rf.a73eb4fd7d77be69805c3343537298f9.jpg,train/images/Wally-Finder-v5_0072.jpg,0
train,Wally-Finder-v5,page:33,page:33,data/roboflow/wally-finder-v5/train/images/33_jpg.rf.00b26a003f780013d87fb9adc59cf06e.jpg,train/images/Wally-Finder-v5_0073.jpg,0
train,Wally-Finder-v5,page:33,page:33,data/roboflow/wally-finder-v5/train/images/33_jpg.rf.697ebbb01746a639bde0fbd2c85c2815.jpg,train/images/Wally-Finder-v5_0074.jpg,0
train,Wally-Finder-v5,page:33,page:33,data/roboflow/wally-finder-v5/train/images/33_jpg.rf.ae39ff1f4b1093ab4e16e49f890a51c3.jpg,train/images/Wally-Finder-v5_0075.jpg,0
train,Wally-Finder-v5,page:33,page:33,data/roboflow/wally-finder-v5/train/images/33_jpg.rf.ebad6e96788470d4fe0fc82ce5c7ca2f.jpg,train/images/Wally-Finder-v5_0076.jpg,0
train,Wally-Finder-v5,page:40,page:40,data/roboflow/wally-finder-v5/train/images/40_jpeg.rf.d1997540f53b6ab2ed78f62d0bb70fb9.jpg,train/images/Wally-Finder-v5_0077.jpg,0
train,Wally-Finder-v5,page:40,page:40,data/roboflow/wally-finder-v5/train/images/40_jpg.rf.2fc6db885f951f6de0b8c407ae4e6604.jpg,train/images/Wally-Finder-v5_0078.jpg,0
train,Wally-Finder-v5,page:40,page:40,data/roboflow/wally-finder-v5/train/images/40_jpg.rf.453e9d363354ddfc85d5f5d037fd37db.jpg,train/images/Wally-Finder-v5_0079.jpg,0
